LINEAGE	WHO_LABEL	CONTRIBUTING_LINEAGES	COLOR	variant_category
B.1.617.2	Delta	AY.85	#F1CE98	VOC
B.1.617.2	Delta	AY.86	#F1CE98	VOC
B.1.617.2	Delta	AY.87	#F1CE98	VOC
B.1.617.2	Delta	AY.88	#F1CE98	VOC
B.1.617.2	Delta	AY.9	#F1CE98	VOC
B.1.617.2	Delta	AY.9.2	#F1CE98	VOC
B.1.617.2	Delta	AY.9.2.1	#F1CE98	VOC
B.1.617.2	Delta	AY.9.2.2	#F1CE98	VOC
B.1.617.2	Delta	AY.90	#F1CE98	VOC
B.1.617.2	Delta	AY.91	#F1CE98	VOC
B.1.617.2	Delta	AY.91.1	#F1CE98	VOC
B.1.617.2	Delta	AY.92	#F1CE98	VOC
B.1.617.2	Delta	AY.93	#F1CE98	VOC
B.1.617.2	Delta	AY.94	#F1CE98	VOC
B.1.617.2	Delta	AY.95	#F1CE98	VOC
B.1.617.2	Delta	AY.98	#F1CE98	VOC
B.1.617.2	Delta	AY.98.1	#F1CE98	VOC
B.1.617.2	Delta	AY.98.1.1	#F1CE98	VOC
B.1.617.2	Delta	AY.99	#F1CE98	VOC
B.1.617.2	Delta	AY.99.1	#F1CE98	VOC
B.1.617.2	Delta	AY.99.2	#F1CE98	VOC
B.1.617.2	Delta	B.1.617.2	#F1CE98	VOC
P.1	Gamma	P.1	#F1CE32	VOC
P.1	Gamma	P.1.1	#F1CE32	VOC
P.1	Gamma	P.1.10	#F1CE32	VOC
P.1	Gamma	P.1.10.1	#F1CE32	VOC
P.1	Gamma	P.1.10.2	#F1CE32	VOC
P.1	Gamma	P.1.11	#F1CE32	VOC
P.1	Gamma	P.1.12	#F1CE32	VOC
P.1	Gamma	P.1.12.1	#F1CE32	VOC
P.1	Gamma	P.1.13	#F1CE32	VOC
P.1	Gamma	P.1.14	#F1CE32	VOC
P.1	Gamma	P.1.15	#F1CE32	VOC
P.1	Gamma	P.1.16	#F1CE32	VOC
P.1	Gamma	P.1.17	#F1CE32	VOC
P.1	Gamma	P.1.17.1	#F1CE32	VOC
P.1	Gamma	P.1.2	#F1CE32	VOC
P.1	Gamma	P.1.3	#F1CE32	VOC
P.1	Gamma	P.1.4	#F1CE32	VOC
P.1	Gamma	P.1.5	#F1CE32	VOC
P.1	Gamma	P.1.6	#F1CE32	VOC
P.1	Gamma	P.1.7	#F1CE32	VOC
P.1	Gamma	P.1.7.1	#F1CE32	VOC
P.1	Gamma	P.1.8	#F1CE32	VOC
P.1	Gamma	P.1.9	#F1CE32	VOC
BA.1	Omikron	BA.1	#F1CE77	VOC
BA.1	Omikron	BA.1.1	#F1CE77	VOC
BA.1	Omikron	BA.1.1.1	#F1CE77	VOC
BA.1	Omikron	BA.1.1.10	#F1CE77	VOC
BA.1	Omikron	BA.1.1.11	#F1CE77	VOC
BA.1	Omikron	BA.1.1.12	#F1CE77	VOC
BA.1	Omikron	BA.1.1.13	#F1CE77	VOC
BA.1	Omikron	BA.1.1.14	#F1CE77	VOC
BA.1	Omikron	BA.1.1.15	#F1CE77	VOC
BA.1	Omikron	BA.1.1.16	#F1CE77	VOC
BA.1	Omikron	BA.1.1.17	#F1CE77	VOC
BA.1	Omikron	BA.1.1.18	#F1CE77	VOC
BA.1	Omikron	BA.1.1.2	#F1CE77	VOC
BA.1	Omikron	BA.1.1.3	#F1CE77	VOC
BA.1	Omikron	BA.1.1.4	#F1CE77	VOC
BA.1	Omikron	BA.1.1.5	#F1CE77	VOC
BA.1	Omikron	BA.1.1.6	#F1CE77	VOC
BA.1	Omikron	BA.1.1.7	#F1CE77	VOC
BA.1	Omikron	BA.1.1.8	#F1CE77	VOC
BA.1	Omikron	BA.1.1.9	#F1CE77	VOC
BA.1	Omikron	BA.1.10	#F1CE77	VOC
BA.1	Omikron	BA.1.12	#F1CE77	VOC
BA.1	Omikron	BA.1.13	#F1CE77	VOC
BA.1	Omikron	BA.1.13.1	#F1CE77	VOC
BA.1	Omikron	BA.1.14	#F1CE77	VOC
BA.1	Omikron	BA.1.14.1	#F1CE77	VOC
BA.1	Omikron	BA.1.14.2	#F1CE77	VOC
BA.1	Omikron	BA.1.15	#F1CE77	VOC
BA.1	Omikron	BA.1.15.1	#F1CE77	VOC
BA.1	Omikron	BA.1.15.2	#F1CE77	VOC
BA.1	Omikron	BA.1.15.3	#F1CE77	VOC
BA.1	Omikron	BA.1.16	#F1CE77	VOC
BA.1	Omikron	BA.1.16.1	#F1CE77	VOC
BA.1	Omikron	BA.1.16.2	#F1CE77	VOC
BA.1	Omikron	BA.1.17	#F1CE77	VOC
BA.1	Omikron	BA.1.17.1	#F1CE77	VOC
BA.1	Omikron	BA.1.17.2	#F1CE77	VOC
BA.1	Omikron	BA.1.18	#F1CE77	VOC
BA.1	Omikron	BA.1.19	#F1CE77	VOC
BA.1	Omikron	BA.1.2	#F1CE77	VOC
BA.1	Omikron	BA.1.20	#F1CE77	VOC
BA.1	Omikron	BA.1.21	#F1CE77	VOC
BA.1	Omikron	BA.1.21.1	#F1CE77	VOC
BA.1	Omikron	BA.1.22	#F1CE77	VOC
BA.1	Omikron	BA.1.23	#F1CE77	VOC
BA.1	Omikron	BA.1.24	#F1CE77	VOC
BA.1	Omikron	BA.1.3	#F1CE77	VOC
BA.1	Omikron	BA.1.4	#F1CE77	VOC
BA.1	Omikron	BA.1.5	#F1CE77	VOC
BA.1	Omikron	BA.1.6	#F1CE77	VOC
BA.1	Omikron	BA.1.7	#F1CE77	VOC
BA.1	Omikron	BA.1.8	#F1CE77	VOC
BA.1	Omikron	BA.1.9	#F1CE77	VOC
BA.1	Omikron	BC.1	#F1CE77	VOC
BA.1	Omikron	BC.2	#F1CE77	VOC
BA.1	Omikron	BD.1	#F1CE77	VOC
BA.2	Omikron	BA.2	#F1CE61	VOC
BA.2	Omikron	BA.2.1	#F1CE61	VOC
BA.2	Omikron	BA.2.10	#F1CE61	VOC
BA.2	Omikron	BA.2.10.1	#F1CE61	VOC
BA.2	Omikron	BA.2.10.2	#F1CE61	VOC
BA.2	Omikron	BA.2.10.3	#F1CE61	VOC
BA.2	Omikron	BA.2.10.4	#F1CE61	VOC
BA.2	Omikron	BA.2.11	#F1CE61	VOC
BA.2	Omikron	BA.2.12	#F1CE61	VOC
BA.2	Omikron	BA.2.12.1	#F1CE61	VOC
BA.2	Omikron	BA.2.12.2	#F1CE61	VOC
BA.2	Omikron	BA.2.13	#F1CE61	VOC
BA.2	Omikron	BA.2.13.1	#F1CE61	VOC
BA.2	Omikron	BA.2.14	#F1CE61	VOC
BA.2	Omikron	BA.2.15	#F1CE61	VOC
BA.2	Omikron	BA.2.16	#F1CE61	VOC
BA.2	Omikron	BA.2.17	#F1CE61	VOC
BA.2	Omikron	BA.2.18	#F1CE61	VOC
BA.2	Omikron	BA.2.19	#F1CE61	VOC
BA.2	Omikron	BA.2.2	#F1CE61	VOC
BA.2	Omikron	BA.2.2.1	#F1CE61	VOC
BA.2	Omikron	BA.2.20	#F1CE61	VOC
BA.2	Omikron	BA.2.21	#F1CE61	VOC
BA.2	Omikron	BA.2.22	#F1CE61	VOC
BA.2	Omikron	BA.2.23	#F1CE61	VOC
BA.2	Omikron	BA.2.23.1	#F1CE61	VOC
BA.2	Omikron	BA.2.24	#F1CE61	VOC
BA.2	Omikron	BA.2.25	#F1CE61	VOC
BA.2	Omikron	BA.2.25.1	#F1CE61	VOC
BA.2	Omikron	BA.2.26	#F1CE61	VOC
BA.2	Omikron	BA.2.27	#F1CE61	VOC
BA.2	Omikron	BA.2.28	#F1CE61	VOC
BA.2	Omikron	BA.2.29	#F1CE61	VOC
BA.2	Omikron	BA.2.3	#F1CE61	VOC
BA.2	Omikron	BA.2.3.1	#F1CE61	VOC
BA.2	Omikron	BA.2.3.10	#F1CE61	VOC
BA.2	Omikron	BA.2.3.11	#F1CE61	VOC
BA.2	Omikron	BA.2.3.12	#F1CE61	VOC
BA.2	Omikron	BA.2.3.13	#F1CE61	VOC
BA.2	Omikron	BA.2.3.14	#F1CE61	VOC
BA.2	Omikron	BA.2.3.15	#F1CE61	VOC
BA.2	Omikron	BA.2.3.16	#F1CE61	VOC
BA.2	Omikron	BA.2.3.17	#F1CE61	VOC
BA.2	Omikron	BA.2.3.18	#F1CE61	VOC
